isoform	p-value_lowest	effector_score
SNOO_580580_1	0.367879441	-2.471
SNOO_618210_1	0.069463722	-2.332
SNOO_411030A_1	0.024975438	-2.347
SNOO_411030A_2	0.024975438	-2.347
SNOO_162030A_1	0.008545409	-2.414
SNOO_162030A_2	0.129660004	-2.414
SNOO_162030A_3	0.023587147	-2.414
SNOO_117270A_1	0.008919733	-2.801
SNOO_020890A_1	0.031545791	-3.042
SNOO_020890A_2	0.071429212	-3.042
SNOO_020890A_3	0.009134123	-3.042
SNOO_020730A_1	0.006766757	0.414
SNOO_020730A_2	0.052392379	0.414
SNOO_020730A_3	0.020919218	0.414
SNOO_438900A_1	0.081125267	0.555
SNOO_438900A_2	0.081125267	0.555
SNOO_509940_1	0.027358148	-3.209
SNOO_427870A_1	0.012862918	-2.416
SNOO_407830A_1	0.367879441	-2.783
SNOO_046070A_1	0.030266566	-3.396
SNOO_134810A_1	0.035373023	-3.346
SNOO_134810A_2	0.035373023	-3.346
SNOO_031540A_1	0.015273615	-1.13
SNOO_031540A_2	0.005940917	-1.13
SNOO_031540A_3	0.011529762	-1.13
SNOO_433520A_1	0.099154203	-2.242
SNOO_041590A_1	0.103292912	-2.717
SNOO_419710A_1	0.012741289	-2.239
SNOO_419710A_2	0.012741289	-2.239
SNOO_149370A_1	0.367879441	-3.062
SNOO_041130A_1	0.024887721	-3.338
SNOO_041130A_2	0.024887721	-3.338
SNOO_446660A_1	0.027671891	-2.451
SNOO_446660A_2	0.017787129	-2.451
SNOO_130050A_1	0.1648291	-2.97
SNOO_510360_1	0.021108329	-3.088
SNOO_510360_2	0.030251749	-3.088
SNOO_136250A_1	0.367879441	-2.01
SNOO_020900A_1	0.002235006	-2.178
SNOO_020900A_2	0.009134123	-2.178
SNOO_434170A_1	0.025390156	-3.346
SNOO_434170A_2	0.071429212	-3.346
SNOO_140000A_1	0.014277389	-2.851
SNOO_140000A_2	0.007128482	-2.851
SNOO_414090A_1	0.037955938	-2.069
SNOO_414090A_2	0.037955938	-2.069
SNOO_062100A_1	0.001914944	-3.133
SNOO_062100A_2	0.012444004	-3.133
SNOO_052740A_1	0.018997714	-3.212
SNOO_304020A_1	0.367879441	-3.204
SNOO_519170_1	0.042279112	-2.86
SNOO_029200A_1	0.01333056	-0.489
SNOO_029200A_2	0.01333056	-0.489
SNOO_163460A_1	0.050593551	-2.901
SNOO_163460A_2	0.03838747	-2.901
SNOO_029670A_1	0.060834437	-2.702
SNOO_029670A_2	0.034873351	-2.702
SNOO_070830A_1	0.023715764	-3.042
SNOO_049930A_1	0.035373023	-1.844
SNOO_008170A_1	0.035373023	-2.454
SNOO_060390A_1	0.083319515	-3.038
SNOO_306770A_1	0.07384055	-3.362
SNOO_135060A_1	0.057551809	-1.992
SNOO_567320_1	0.042464287	-2.413
SNOO_138630A_1	0.000730643	-3.293
SNOO_019210A_1	0.001930527	-2.534
SNOO_019210A_2	0.019704505	-2.534
SNOO_011140A_1	0.045119602	-2.236
SNOO_106270A_1	0.367879441	-1.425
SNOO_148820A_1	0.036405686	-1.403
SNOO_128590A_1	0.004452777	-2.819
SNOO_073550A_1	0.057688885	-3.088
SNOO_306540A_1	0.142795309	-1.376
SNOO_307560A_1	0.076641676	-0.449
SNOO_510180_1	0.027903659	-2.971
SNOO_510180_2	0.044762816	-2.971
SNOO_154870A_1	0.367879441	-3.041
SNOO_015240A_1	0.057152865	-3.338
SNOO_015240A_2	0.047516228	-3.338
SNOO_015240A_3	0.048951049	-3.338
SNOO_141490A_1	0.015419381	-0.738
SNOO_141490A_1	0.015419381	-1.562
SNOO_141490A_2	0.022317525	-0.738
SNOO_141490A_2	0.022317525	-1.562
SNOO_029490A_1	0.008497116	-2.704
SNOO_029490A_2	0.008035993	-2.704
SNOO_511110_1	0.068819131	-1.944
SNOO_511110_2	0.049490623	-1.944
SNOO_407350A_1	0.035373023	-1.854
SNOO_420590A_1	0.367879441	-2.916
SNOO_010260A_1	0.001428455	-2.524
SNOO_010260A_2	0.001428455	-2.524
SNOO_083000A_1	0.203050341	-1.919
SNOO_069020AB_1	0.001703008	-3.346
SNOO_505880_1	0.061726011	-2.858
SNOO_071210AB_1	0.109280907	-2.757
SNOO_079530A_1	0.019561077	-2.908
SNOO_079530A_2	0.057121587	-2.908
SNOO_163570A_1	0.047284863	-3.322
SNOO_163570A_2	0.044335137	-3.322
SNOO_411700A_1	0.001339323	-2.08
SNOO_046060A_1	0.001200035	0.421
SNOO_046060A_2	0.0001143	0.421
SNOO_046060A_3	0.03041525	0.421
SNOO_001490A_1	0.057688885	-1.68
SNOO_410580A_1	0.007439594	-1.88
SNOO_089930A_1	0.037637743	0.18
SNOO_074840A_1	0.029833484	-3.361
SNOO_159500A_1	0.030075614	1.951
SNOO_159500A_2	0.029535778	1.951
SNOO_410540A_1	0.019257206	-3.042
SNOO_410540A_2	0.04072722	-3.042
SNOO_008800A_1	0.142795309	-2.714
SNOO_105440A_1	0.013011897	-2.792
SNOO_105440A_2	0.034100322	-2.792
SNOO_420190A_1	0.008001301	-2.695
SNOO_420190A_2	0.008001301	-2.695
SNOO_308660A_1	0.074204739	-3.181
SNOO_308660A_2	0.061828958	-3.181
SNOO_138790A_1	0.002407453	-3.28
SNOO_138790A_2	0.012862918	-3.28
SNOO_425530A_1	0.022564759	-2.714
SNOO_425530A_2	0.035373023	-2.714
SNOO_425530A_3	0.047764175	-2.714
SNOO_625040_1	0.367879441	-2.671
SNOO_087390A_1	0.012862918	-1.693
SNOO_087390A_2	0.031224707	-1.693
SNOO_161910A_1	0.011471874	-1.191
SNOO_516760_1	0.019806431	-3.182
SNOO_412900A_1	0.367879441	-2.116
SNOO_415350A_1	0.002450996	-2.778
SNOO_415350A_2	0.002450996	-2.778
SNOO_075550A_1	0.029169031	-3.376
SNOO_075550A_2	0.054360095	-3.376
SNOO_408690A_1	0.367879441	-3.295
SNOO_156890A_1	0.029268745	-1.752
SNOO_032960A_1	0.132677352	-3.086
SNOO_518020_1	0.029313518	-3.378
SNOO_510280_1	0.026269446	-2.655
SNOO_510280_2	0.042195062	-2.655
SNOO_061790A_1	0.00362617	-2.645
SNOO_145620A_1	0.367879441	-2.825
SNOO_404910A_1	0.020842441	-1.214
SNOO_502240_1	0.038315196	-0.696
SNOO_502240_2	0.055060073	-0.696
SNOO_403960A_1	0.009903962	-2.365
SNOO_635620_1	0.032261828	-1.64
SNOO_635620_2	0.008723378	-1.64
SNOO_126750A_1	0.044790573	-0.128
SNOO_301480A_1	0.005115945	0.453
SNOO_554650_1	0.016317757	-3.346
SNOO_554650_2	0.067138953	-3.346
SNOO_554650_3	0.009473562	-3.346
SNOO_554650_4	0.009002308	-3.346
SNOO_554650_5	0.094997102	-3.346
SNOO_554650_6	0.001640484	-3.346
SNOO_554650_7	0.035373023	-3.346
SNOO_510580_1	0.003585227	-3.346
SNOO_105970A_1	0.179525167	-2.985
SNOO_096910A_1	0.049552681	-2.941
SNOO_013030A_1	5.33e-05	-3.295
SNOO_013030A_2	0.000185353	-3.295
SNOO_305080A_1	0.012862918	-2.745
SNOO_521180_1	0.025390156	-1.278
SNOO_521180_2	0.016328642	-1.278
SNOO_597370_1	0.029313518	-2.893
SNOO_089810AB_1	0.009035654	2.784
SNOO_083390A_1	0.183939721	-2.747
SNOO_405610A_1	0.082911338	-1.62
SNOO_066440A_1	0.367879441	-0.711
SNOO_083200A_1	0.203050341	-1.735
SNOO_021620A_1	0.041132051	-3.038
SNOO_021620A_2	0.041132051	-3.038
SNOO_099290A_1	0.009610689	-3.19
SNOO_307800A_1	0.020842441	1.664
SNOO_079780A_1	0.027501101	-2.915
SNOO_005510A_1	0.167778186	-1.858
SNOO_506350_1	0.367879441	-2.768
SNOO_431500A_1	0.018695366	0.412
SNOO_431500A_2	0.007484782	0.412
SNOO_431500A_3	0.060932548	0.412
SNOO_533010_1	0.062787111	-1.688
SNOO_533010_2	0.002949004	-1.688
SNOO_074980A_1	0.035373023	-0.507
SNOO_521630_1	0.127405237	-3.042
SNOO_306750A_1	0.013201851	-3.181
SNOO_306750A_2	0.045950234	-3.181
SNOO_073970A_1	0.367879441	-3.197
SNOO_408740A_1	0.367879441	-1.713
SNOO_089800A_1	0.014277389	-3.091
SNOO_089800A_2	0.010368204	-3.091
SNOO_047960A_1	0.030266566	-2.569
SNOO_058420A_1	0.025334113	-2.568
SNOO_526170_1	0.053700271	-2.996
SNOO_526170_2	0.030479705	-2.996
SNOO_584370_1	0.047757635	-2.741
SNOO_584370_2	0.023791814	-2.741
SNOO_584370_3	0.077936883	-2.741
SNOO_060270A_1	0.088477001	-2.297
SNOO_422720A_1	0.003282567	-3.191
SNOO_422720A_2	0.013613382	-3.191
SNOO_112160A_1	0.015805994	-1.49
SNOO_112160A_2	0.010795286	-1.49
SNOO_409340A_1	0.001528374	-1.963
SNOO_409340A_2	0.001528374	-1.963
SNOO_036820A_1	0.367879441	-1.125
SNOO_126850A_1	0.031386026	-3.329
SNOO_434250A_1	0.042962343	-2.67
SNOO_434250A_2	0.031545791	-2.67
SNOO_407620A_1	0.367879441	-1.282
SNOO_514750_1	0.005637932	-2.463
SNOO_003380A_1	0.03599254	-3.464
SNOO_003380A_2	0.019608071	-3.464
SNOO_003380A_3	0.035373023	-3.464
SNOO_037070A_1	0.002012714	-1.569
SNOO_037070A_1	0.002012714	-3.042
SNOO_511260_1	0.057150395	-2.964
SNOO_098450A_1	0.367879441	-3.105
SNOO_157150A_1	0.010054515	-2.645
SNOO_157150A_2	0.012862918	-2.645
SNOO_159770A_1	0.029962065	-3.44
SNOO_159770A_2	0.033115135	-3.44
SNOO_438370A_1	0.057152865	-3.209
SNOO_438370A_2	0.031842784	-3.209
SNOO_163160A_1	0.031386026	-2.173
SNOO_010920A_1	0.004982493	-2.735
SNOO_122130A_1	0.024189924	-1.193
SNOO_122130A_2	0.008581041	-1.193
SNOO_414660A_1	0.012862918	-3.059
SNOO_414660A_2	0.005893555	-3.059
SNOO_064790A_1	0.037593865	-3.13
SNOO_064790A_2	0.048951049	-3.13
SNOO_094780A_1	0.07384055	-3.135
SNOO_096160A_1	0.019336972	-2.005
SNOO_006760A_1	0.03382864	-3.362
SNOO_006760A_2	0.03382864	-3.362
SNOO_129980A_1	0.165545749	-1.948
SNOO_126320A_1	0.008271823	-3.038
SNOO_007960A_1	0.073971406	-3.179
SNOO_007960A_2	0.061929549	-3.179
SNOO_009490A_1	0.01246995	-3.348
SNOO_009490A_2	0.003858875	-3.348
SNOO_009490A_3	0.012862918	-3.348
SNOO_049660A_1	0.367879441	-2.912
SNOO_049660A_2	0.367879441	-2.912
SNOO_088580A_1	0.367879441	-3.27
SNOO_137360A_1	0.051774657	-2.454
SNOO_137360A_2	0.058217305	-2.454
SNOO_595460_1	0.019806431	-2.977
SNOO_577780_1	0.05131313	-1.781
SNOO_107700A_1	0.020774709	-3.115
SNOO_107700A_2	0.015925129	-3.115
SNOO_143160A_1	0.367879441	-0.638
SNOO_302050A_1	0.048951049	-2.971
SNOO_302050A_2	0.008355098	-2.971
SNOO_301370A_1	0.034760595	-2.333
SNOO_033140A_1	0.073257378	-0.879
SNOO_070070A_1	0.040768695	-2.676
SNOO_070070A_2	0.037754377	-2.676
SNOO_080120A_1	0.142795309	0.485
SNOO_019070A_1	0.367879441	-1.29
SNOO_145570A_1	0.032291081	-3.348
SNOO_085260A_1	0.001263489	-3.346
SNOO_085260A_2	0.012862918	-3.346
SNOO_095670A_1	0.028573759	-2.596
SNOO_006520A_1	0.067180017	-2.484
SNOO_006520A_2	0.047516228	-2.484
SNOO_518540_1	0.01010724	-2.294
SNOO_561700_1	0.183939721	-1.893
SNOO_159150A_1	0.054848529	-3.346
SNOO_516980_1	0.030075772	-2.79
SNOO_516980_2	4.17e-05	-2.79
SNOO_074480A_1	0.031763119	-2.965
SNOO_074480A_2	0.021594452	-2.965
SNOO_123750A_1	0.003497031	-2.875
SNOO_123750A_2	0.029675693	-2.875
SNOO_111550A_1	0.005216391	-2.776
SNOO_111550A_2	0.01622582	-2.776
SNOO_406980A_1	0.367879441	-2.474
SNOO_061480A_1	0.367879441	1.825
SNOO_148360A_1	0.000934783	-3.218
SNOO_021340A_1	0.056006996	-2.958
SNOO_021340A_2	0.01425089	-2.958
SNOO_021340A_3	0.002175458	-2.958
SNOO_539800_1	0.001800685	-1.759
SNOO_539800_2	0.001800685	-1.759
SNOO_084170A_1	0.084895256	-3.391
SNOO_084170A_2	0.035838055	-3.391
SNOO_097390A_1	0.01715665	0.8
SNOO_023560A_1	0.165545749	2.436
SNOO_571680_1	0.044068941	-2.687
SNOO_157750A_1	0.367879441	-3.346
SNOO_155870A_1	0.132523477	-2.2
SNOO_128960A_1	0.030205097	-2.934
SNOO_128960A_2	0.028715286	-2.934
SNOO_120380A_1	0.005612993	-3.357
SNOO_120380A_2	0.035510559	-3.357
SNOO_400990A_1	0.005828235	-3.179
SNOO_400990A_2	0.005828235	-3.179
SNOO_603490_1	0.010727409	-1.964
SNOO_095460A_1	0.007543443	-0.203
SNOO_095460A_2	0.008007307	-0.203
SNOO_139400A_1	0.005918241	-1.602
SNOO_139400A_2	0.035706577	-1.602
SNOO_139400A_3	0.019093148	-1.602
SNOO_124810A_1	0.367879441	-3.346
SNOO_136420A_1	0.000921072	-3.196
SNOO_133990A_1	0.004733729	-3.095
SNOO_133990A_2	0.035373023	-3.095
SNOO_133990A_3	0.019921423	-3.095
SNOO_097470A_1	0.00443216	-2.39
SNOO_097470A_2	0.00443216	-2.39
SNOO_017760A_1	0.005374621	0.65
SNOO_017760A_2	0.002794803	0.65
SNOO_531910_1	0.011531889	-3.112
SNOO_038120A_1	0.367879441	-1.071
SNOO_097510A_1	0.010252537	-3.288
SNOO_097510A_2	0.015675903	-3.288
SNOO_097510A_3	0.007787829	-3.288
SNOO_150430A_1	0.034969212	-3.153
SNOO_150430A_2	0.035908348	-3.153
SNOO_150430A_3	0.010116907	-3.153
SNOO_034340A_1	0.041873794	-1.774
SNOO_034340A_2	0.048951049	-1.774
SNOO_160770A_1	0.020512585	-2.48
SNOO_502530_1	4.37e-05	-2.428
SNOO_502530_2	4.37e-05	-2.428
SNOO_506890_1	0.077099098	-1.561
SNOO_610940_1	0.045445148	-1.364
SNOO_513700_1	0.035647552	-3.346
SNOO_072620A_1	0.367879441	-1.988
SNOO_161690A_1	0.073748071	-3.038
SNOO_429350A_1	0.073257378	-0.278
SNOO_097020A_1	0.022674394	-3.114
SNOO_030160A_1	0.03226543	-2.858
SNOO_030160A_2	0.023251131	-2.858
SNOO_119430A_1	0.067856506	-0.813
SNOO_119430A_2	0.065110843	-0.813
SNOO_163040A_1	0.07899509	-3.18
SNOO_036890A_1	0.019705058	-2.651
SNOO_036890A_2	0.015180193	-2.651
SNOO_000890A_1	0.013419396	-3.28
SNOO_000890A_2	0.004452777	-3.28
SNOO_146640A_1	0.023291227	-3.358
SNOO_105550A_1	0.1648291	-2.949
SNOO_438960A_1	0.005606412	-2.83
SNOO_438960A_2	0.001361129	-2.83
SNOO_438960A_3	0.046922967	-2.83
SNOO_068070A_1	0.048951049	-3.174
SNOO_068070A_2	0.048951049	-3.174
SNOO_436650A_1	0.00032874	-2.764
SNOO_436650A_2	0.002493643	-2.764
SNOO_102300BA_1	0.175298257	-2.662
SNOO_307770A_1	0.03041525	-2.686
SNOO_307770A_2	0.019442193	-2.686
SNOO_122520A_1	0.020676132	-3.122
SNOO_122520A_2	0.020676132	-3.122
SNOO_162660A_1	0.031483715	-2.48
SNOO_124320A_1	0.058704963	-2.538
SNOO_124320A_2	0.062710993	-2.538
SNOO_407130A_1	0.037293324	0.127
SNOO_162240A_1	0.0445347	-3.039
SNOO_162240A_2	0.048012997	-3.039
SNOO_440200A_1	0.032762507	-1.721
SNOO_440200A_2	0.06956724	-1.721
SNOO_101900A_1	0.03533948	-3.042
SNOO_101900A_2	0.067610304	-3.042
SNOO_500640_1	0.142795309	-1.985
SNOO_057300A_1	0.048951049	-2.971
SNOO_057300A_2	0.045001502	-2.971
SNOO_437810A_1	0.032639663	-2.374
SNOO_101550A_1	0.004501433	-2.266
SNOO_519570_1	0.019806431	-3.346
SNOO_141060A_1	0.142795309	-2.945
SNOO_610970_1	0.367879441	-1.623
SNOO_420290A_1	0.010757443	-2.706
SNOO_420290A_2	0.003477463	-2.706
SNOO_148540A_1	0.070494946	-2.055
SNOO_148540A_2	0.0939927	-2.055
SNOO_117430A_1	0.034196495	-3.383
SNOO_117430A_2	0.003063655	-3.383
SNOO_031000A_1	0.009636567	-2.7
SNOO_031000A_2	0.006341111	-2.7
SNOO_148950A_1	0.029535778	-3.283
SNOO_148950A_2	0.02162301	-3.283
SNOO_109740A_1	0.048951049	0.164
SNOO_109740A_2	0.028829502	0.164
SNOO_109740A_3	0.023795738	0.164
SNOO_060960A_1	0.021842649	0.645
SNOO_060960A_2	0.013729665	0.645
SNOO_060610A_1	0.040293037	-1.927
SNOO_060610A_2	0.008317866	-1.927
SNOO_060610A_3	0.004841007	-1.927
SNOO_165550A_1	0.003206468	0.512
SNOO_165550A_2	0.003206468	0.512
SNOO_031980A_1	0.007680341	-3.209
SNOO_031980A_2	0.073259016	-3.209
SNOO_047020A_1	0.009154343	-2.371
SNOO_047020A_2	0.011930798	-2.371
SNOO_110940A_1	0.045429852	-2.941
SNOO_110940A_2	0.050629231	-2.941
SNOO_131240A_1	0.367879441	-1.699
SNOO_411330A_1	0.165545749	-2.457
SNOO_159890A_1	0.022451055	-2.26
SNOO_159890A_2	0.022451055	-2.26
SNOO_036190A_1	0.026858737	-1.455
SNOO_036190A_2	0.000337003	-1.455
SNOO_036190A_3	0.018393072	-1.455
SNOO_106330AB_1	0.009636567	-3.144
SNOO_024660A_1	0.367879441	-3.357
SNOO_024990A_1	0.059760778	-2.032
SNOO_024990A_2	0.059760778	-2.032
SNOO_420770A_1	0.050784079	-1.999
SNOO_420770A_2	0.012862918	-1.999
SNOO_420770A_3	0.023882208	-1.999
SNOO_077010A_1	0.009584301	0.57
SNOO_096380A_1	0.1648291	0.495
SNOO_151610A_1	0.012862918	-3.027
SNOO_151610A_2	0.022661506	-3.027
SNOO_151610A_3	0.112783069	-3.027
SNOO_136010A_1	0.142795309	1.19
SNOO_059280A_1	0.00095697	-3.346
SNOO_059280A_2	0.042279112	-3.346
SNOO_055820A_1	0.034259708	-2.318
SNOO_055820A_2	0.021143914	-2.318
SNOO_068100A_1	0.093055273	-2.811
SNOO_048570A_1	0.367879441	-3.346
SNOO_056590A_1	0.035373023	-2.333
SNOO_056590A_2	0.034873351	-2.333
SNOO_086290A_1	0.039901583	-3.16
SNOO_086290A_2	0.013461393	-3.16
SNOO_092340A_1	0.052096047	-2.834
SNOO_092340A_2	0.052096047	-2.834
SNOO_607960_1	0.015494306	-2.909
SNOO_607960_2	0.015494306	-2.909
SNOO_158410A_1	0.090118118	-2.491
SNOO_039410A_1	0.367879441	-0.864
SNOO_014450A_1	0.052459139	-2.043
SNOO_515970_1	0.019806431	-2.618
SNOO_022810A_1	0.0012816	-1.734
SNOO_038170A_1	0.367879441	-0.886
SNOO_077330A_1	0.048951049	-2.861
SNOO_077330A_2	0.005918241	-2.861
SNOO_101300A_1	0.019433142	-1.325
SNOO_412480A_1	0.093055273	-0.876
SNOO_004590A_1	0.002841441	-2.799
SNOO_004590A_2	0.002841441	-2.799
SNOO_046330A_1	0.009906425	-3.372
SNOO_046330A_2	0.06079069	-3.372
SNOO_046330A_3	0.010375361	-3.372
SNOO_508760_1	0.014277389	-0.998
SNOO_307980A_1	0.040301514	-3.456
SNOO_429830A_1	0.068678346	-2.196
SNOO_080320A_1	0.12237685	-3.338
SNOO_119270A_1	0.037620882	0.996
SNOO_119270A_2	0.001549122	0.996
SNOO_072920A_1	0.142795309	2.141
SNOO_162070A_1	0.012560747	-2.315
SNOO_019990A_1	0.037466338	-2.801
SNOO_019990A_2	0.005374621	-2.801
SNOO_019990A_3	0.071229217	-2.801
SNOO_137070A_1	0.015336691	-3.361
SNOO_137070A_2	0.029128759	-3.361
SNOO_611050_1	0.047608478	-2.109
SNOO_611050_2	0.007821563	-2.109
SNOO_098340A_1	0.015415247	0.339
SNOO_098340A_2	0.011611584	0.339
SNOO_121000A_1	0.018372686	-2.67
SNOO_536290_1	0.035373023	-2.743
SNOO_099610A_1	0.019704505	-3.346
SNOO_006820A_1	0.065503351	-1.397
SNOO_006820A_2	0.056081718	-1.397
SNOO_050000A_1	0.007054704	-3.346
SNOO_050000A_2	0.014798944	-3.346
SNOO_091780A_1	0.000294031	-2.48
SNOO_091780A_2	0.012862918	-2.48
SNOO_099920A_1	0.034951042	-3.338
SNOO_099920A_2	0.035373023	-3.338
SNOO_099920A_3	0.034873351	-3.338
SNOO_423520A_1	0.003533875	-2.459
SNOO_423520A_2	0.005357607	-2.459
SNOO_432070A_1	0.003979324	3.02
SNOO_432070A_2	0.031648066	3.02
SNOO_151780A_1	0.031026543	-1.887
SNOO_151780A_2	0.028137688	-1.887
SNOO_105370A_1	0.367879441	1.233
SNOO_517970_1	0.029313518	-2.748
SNOO_040880A_1	0.171979893	-3.464
SNOO_070900A_1	0.1648291	-3.347
SNOO_049560A_1	0.010179701	-1.984
SNOO_049560A_2	0.028089748	-1.984
SNOO_049560A_3	0.001301804	-1.984
SNOO_132410A_1	0.367879441	-1.367
SNOO_006940A_1	0.001334543	-3.346
SNOO_006940A_2	0.035373023	-3.346
SNOO_006940A_3	0.012862918	-3.346
SNOO_428680A_1	0.058464264	-1.78
SNOO_428680A_2	0.060603002	-1.78
SNOO_025740A_1	0.142795309	-2.714
SNOO_505350_1	0.072589341	-2.52
SNOO_414430A_1	0.014590149	-2.278
SNOO_414430A_2	0.040889735	-2.278
SNOO_137950A_1	0.001698931	-1.201
SNOO_071640A_1	0.020950833	-3.291
SNOO_071640A_2	0.030964223	-3.291
SNOO_007460A_1	0.029937326	-2.315
SNOO_006170A_1	0.012862918	0.882
SNOO_006170A_2	0.012862918	0.882
SNOO_009930A_1	0.065536037	-3.226
SNOO_009930A_2	0.038766395	-3.226
SNOO_441630A_1	0.079062394	-2.982
SNOO_441630A_2	0.012862918	-2.982
SNOO_099350A_1	0.142795309	-2.034
SNOO_126760A_1	0.024975438	-2.541
SNOO_126760A_2	0.012759511	-2.541
SNOO_074710A_1	0.035373023	-3.0
SNOO_405830A_1	0.367879441	-2.447
SNOO_137040A_1	0.010501028	-2.896
SNOO_137040A_2	0.006268061	-2.896
SNOO_144510A_1	0.012862918	-3.346
SNOO_144510A_2	0.000749352	-3.346
SNOO_508730_1	0.367879441	-1.168
SNOO_405250A_1	0.043749426	-1.321
SNOO_411650A_1	0.075061577	-1.938
SNOO_411550A_1	0.035064481	-1.42
SNOO_411550A_2	0.035064481	-1.42
SNOO_446820A_1	0.126052531	-2.311
SNOO_108700A_1	0.000335372	-3.17
SNOO_108700A_2	0.03662188	-3.17
SNOO_134740A_1	0.018775335	0.508
SNOO_134740A_2	0.017654857	0.508
SNOO_077440A_1	0.002450996	-3.438
SNOO_077440A_2	0.057470715	-3.438
SNOO_144570A_1	0.003824773	-3.064
SNOO_144570A_2	0.065735971	-3.064
SNOO_144570A_3	0.003111893	-3.064
SNOO_144570A_4	0.009586191	-3.064
SNOO_563560_1	0.006355447	-3.212
SNOO_563560_2	0.012862918	-3.212
SNOO_563560_3	0.052094131	-3.212
SNOO_563560_4	0.059356202	-3.212
SNOO_563560_5	0.002203939	-3.212
SNOO_563560_6	0.024614258	-3.212
SNOO_152590A_1	0.014294743	-0.025
SNOO_072590A_1	0.048951049	-2.281
SNOO_072590A_2	0.039968997	-2.281
SNOO_154710A_1	0.046833766	1.909
SNOO_154710A_2	0.004526812	1.909
SNOO_302520A_1	0.087900834	-3.346
SNOO_403900A_1	0.001573876	-3.042
SNOO_090310A_1	0.03239105	0.296
SNOO_051570A_1	0.367879441	-3.265
SNOO_148090A_1	0.035373023	0.18
SNOO_522830_1	0.063553092	-1.125
SNOO_522830_2	0.010083862	-1.125
SNOO_522830_3	0.006713543	-1.125
SNOO_087030A_1	0.015568154	-3.658
SNOO_136550A_1	0.009444191	-3.28
SNOO_136550A_2	0.031233036	-3.28
SNOO_008410A_1	0.024360587	-2.555
SNOO_008410A_2	0.008759378	-2.555
